Demo_ID,Group,Pupil_Variation_Rate,Static_Entropy,Transition_Entropy,IPA_Mean
0,Global_Adaptive,0.04013107697344584,4.048755501231943,0.42607493621899756,0.6198504729935915
1,Global_Adaptive,0.03969360224990767,3.885521536113694,0.3351136003061928,0.798701630629251
2,Global_Adaptive,0.038012520440517505,4.108512746823297,0.22706065273757814,0.6436869472874773
3,Global_Adaptive,0.03661022782076126,4.001469304512437,0.3151973188296727,0.7614426656270443
4,Global_Adaptive,0.04601009201232804,4.097635363988761,0.32935016357318536,0.4774279031783137
5,Phased_Adaptive,0.04644910340424103,4.1924225842144285,0.41114906891661585,0.6389148129618388
6,Phased_Adaptive,0.04371026630238091,4.0871103262832165,0.304503707289613,0.6022215712876169
7,Phased_Adaptive,0.06474791951651478,3.7526214913973526,0.3372630370550006,0.5524882809343236
8,Phased_Adaptive,0.05049166228904488,4.138958588491129,0.39852255236497414,0.8003229597998434
9,Phased_Adaptive,0.04278150050058038,4.066816269605471,0.3731004470940894,0.7789995568358019
10,Global_Adaptive,0.07071974329389558,4.9477353403179,0.28550687034221794,0.44824483621949485
12,Global_Adaptive,0.07285908253912826,5.120577005674909,0.5397277752816843,0.5654544770242627
13,Global_Adaptive,0.08123430397070328,5.168061297693862,0.37766782055682424,0.6992034674099346
14,Global_Adaptive,0.0665755731054139,4.784266561934472,0.3257142516983099,0.5990721570431781
15,Phased_Adaptive,0.07509073251215194,4.863921111536872,0.6900756685679137,0.687591449662805
20,Phased_Adaptive,0.058634903862498734,5.262882072030398,0.6698280850180267,0.38560041240392495
22,Global_Adaptive,0.04299295991838277,4.235374834552491,0.3289227316073775,0.9414250700958229
23,Global_Adaptive,0.029861904135074273,4.234031203590414,0.301528988546381,0.8919291118526682
25,Global_Adaptive,0.060466133372293916,4.398319254531651,0.23522249821863384,0.6619933390805885
26,Phased_Adaptive,0.03360779769893757,3.5939781841258176,0.20732113846732805,0.7959018291271149
27,Phased_Adaptive,0.04275240723305024,4.04441304479517,0.30505423865597475,0.7777810963104541
29,Phased_Adaptive,0.04102542080146728,4.720841965817752,0.34409549499820086,0.6658273767837222
31,Global_Adaptive,0.17270028788543906,4.955953347559547,0.48899196263714323,0.21235656457521557
32,Global_Adaptive,0.1596530313090473,4.632661083246964,0.4619605265663114,0.5188850927716763
33,Global_Adaptive,0.0528648461423229,4.630923601614654,0.4615809199136254,0.24133781537148138
35,Global_Adaptive,0.0665426640892105,5.4663390848247815,0.5521657943944952,0.40397224290560096
36,Phased_Adaptive,0.12546341625001647,5.083985220631327,0.45119147363525264,0.4365840087857442
37,Phased_Adaptive,0.13497289850308122,3.8232972455327725,0.2878472959036956,0.12997221713886303
38,Phased_Adaptive,0.21532780761892223,4.5981089455190665,0.38481803910511153,0.28684461741812656
40,Phased_Adaptive,0.26043361408811583,5.26651452258244,0.5204264247912482,0.20149050899106224
